model,dataset,baseline,relation_id,relation_name,mapping_type,test_support,head_support,tail_support,eligible_support,hits_r,alpha_r,delta_r
TransE,FB15k237,without,192,/people/person/spouse_s./people/marriage/spouse,1-1,4,4,4,0,0.0,,
TransE,FB15k237,without,193,/film/film/runtime./film/film_cut/film_release_region,M-1,9,9,9,8,0.380952388048172,0.375,0.375
TransE,FB15k237,without,194,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,1-1,0,0,0,0,,,
TransE,FB15k237,without,195,/base/aareas/schema/administrative_area/administrative_area_type,M-1,20,20,20,40,0.9892857245036534,0.02500000037252903,0.025
TransE,FB15k237,without,196,/influence/influence_node/peers./influence/peer_relationship/peers,1-1,2,2,2,0,0.0,,
TransE,FB15k237,without,197,/government/governmental_body/members./government/government_position_held/legislative_sessions,M-N,12,12,12,24,1.0,0.0,0.0
TransE,FB15k237,without,198,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,M-N,21,21,21,40,0.8129251599311829,0.32499998807907104,0.175
TransE,FB15k237,without,199,/organization/organization/place_founded,M-1,16,16,16,17,0.3705357142857143,0.7058823704719543,0.4117647058823529
TransE,FB15k237,without,200,/base/eating/practicer_of_diet/diet,M-1,11,11,11,12,0.5129870176315308,0.0833333358168602,0.08333333333333333
TransE,FB15k237,without,201,/tv/tv_program/program_creator,1-1,2,2,2,0,0.0,,
TransE,FB15k237,without,202,/people/deceased_person/place_of_burial,M-1,9,9,9,9,0.4841269850730896,0.1111111119389534,0.1111111111111111
TransE,FB15k237,without,203,/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue,M-1,20,20,20,23,0.42857142431395395,0.43478259444236755,0.30434782608695654
TransE,FB15k237,without,204,/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position,M-N,4,4,4,6,0.6071428571428571,0.3333333432674408,0.16666666666666666
TransE,FB15k237,without,205,/location/administrative_division/first_level_division_of,M-1,0,0,0,0,,,
TransE,FB15k237,without,206,/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,M-1,0,0,0,0,,,
TransE,FB15k237,without,207,/organization/organization/child./organization/organization_relationship/child,1-N,20,20,20,18,0.2857142857142857,0.5555555820465088,0.3333333333333333
TransE,FB15k237,without,208,/business/business_operation/assets./measurement_unit/dated_money_value/currency,M-1,0,0,0,0,,,
TransE,FB15k237,without,209,/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance,M-1,3,3,3,4,0.6428571598870414,0.25,0.25
TransE,FB15k237,without,210,/time/event/instance_of_recurring_event,M-1,11,11,11,22,0.8571428571428571,0.1818181872367859,0.18181818181818182
TransE,FB15k237,without,211,/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person,1-N,7,7,7,8,0.5000000042574746,0.25,0.25
TransE,FB15k237,without,212,/film/actor/film./film/performance/special_performance_type,M-1,16,16,16,19,0.5491071428571429,0.10526315867900848,0.10526315789473684
TransE,FB15k237,without,213,/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,M-1,0,0,0,0,,,
TransE,FB15k237,without,214,/people/ethnicity/languages_spoken,M-N,29,29,29,49,0.6108374340193612,0.5510203838348389,0.24489795918367346
TransE,FB15k237,without,215,/base/americancomedy/celebrity_impressionist/celebrities_impersonated,1-N,8,8,8,8,0.4375,0.375,0.25
TransE,FB15k237,without,216,/medicine/symptom/symptom_of,M-N,31,31,31,54,0.7396313292639596,0.35185185074806213,0.2222222222222222
TransE,FB15k237,without,217,/education/university/fraternities_and_sororities,M-1,21,21,21,31,0.6224489893232074,0.25806450843811035,0.16129032258064516
TransE,FB15k237,without,218,/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,M-N,13,13,13,6,0.09340659635407585,0.8333333134651184,0.6666666666666666
TransE,FB15k237,without,219,/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,M-1,4,4,4,4,0.5,0.0,0.0
TransE,FB15k237,without,220,/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation,M-N,20,20,20,40,0.9785714319774083,0.125,0.125
TransE,FB15k237,without,221,/location/country/official_language,M-1,16,16,16,20,0.4732142857142857,0.44999998807907104,0.2
TransE,FB15k237,without,222,/location/location/partially_contains,M-1,13,13,13,20,0.6153846212795803,0.550000011920929,0.3
TransE,FB15k237,without,223,/film/film/film_art_direction_by,M-1,3,3,3,6,0.8809523752757481,0.3333333432674408,0.16666666666666666
TransE,FB15k237,without,224,/people/person/spouse_s./people/marriage/location_of_ceremony,M-1,35,35,35,21,0.17551020852157048,0.6666666865348816,0.38095238095238093
TransE,FB15k237,without,225,/education/university/international_tuition./measurement_unit/dated_money_value/currency,M-1,0,0,0,0,,,
TransE,FB15k237,without,226,/organization/organization_founder/organizations_founded,1-1,9,9,9,8,0.26984127717358725,0.625,0.5
TransE,FB15k237,without,227,/film/film/dubbing_performances./film/dubbing_performance/actor,M-N,8,8,8,14,0.625,0.5,0.2857142857142857
TransE,FB15k237,without,228,/dataworld/gardening_hint/split_to,1-1,10,10,10,14,0.699999988079071,0.0,0.0
TransE,FB15k237,without,229,/medicine/disease/risk_factors,M-N,13,13,13,15,0.5219780291829791,0.2666666805744171,0.13333333333333333
TransE,FB15k237,without,230,/film/film/prequel,1-1,18,18,18,33,0.8214285629136222,0.27272728085517883,0.21212121212121213
TransE,FB15k237,without,231,/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months,M-N,3,3,3,6,1.0,0.0,0.0
TransE,FB15k237,without,232,/film/actor/dubbing_performances./film/dubbing_performance/language,M-1,12,12,12,14,0.5357142857142857,0.1428571492433548,0.14285714285714285
TransE,FB15k237,without,233,/broadcast/content/artist,1-N,14,14,14,18,0.6122449040412903,0.0555555559694767,0.05555555555555555
TransE,FB15k237,without,234,/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,M-1,0,0,0,0,,,
TransE,FB15k237,without,235,/music/instrument/family,M-1,6,6,6,5,0.29761904903820585,0.4000000059604645,0.4
TransE,FB15k237,without,236,/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office,M-1,9,9,9,12,0.3888888955116272,0.5833333134651184,0.3333333333333333
